3.0.00.00.00	Despesas Correntes
4.4.20.00.00	Transferências à União
4.4.20.41.00	Contribuições
4.4.20.42.00	Auxílios
4.4.20.92.00	Despesas de Exercícios Anteriores
4.4.20.93.00	Indenizações e Restituições
4.4.20.99.00	A Classificar
4.4.30.00.00	Transferências a Estados e ao Distrito Federal
4.4.30.41.00	Contribuições
4.4.30.42.00	Auxílios
4.4.30.92.00	Despesas de Exercícios Anteriores
4.4.30.99.00	A Classificar
4.4.40.00.00	Transferências a Municípios
4.4.40.41.00	Contribuições
4.4.40.42.00	Auxílios
4.4.40.92.00	Despesas de Exercícios Anteriores
4.4.40.99.00	A Classificar
4.4.42.00.00	Execução Orçamentária Delegada a Municípios
4.4.42.14.00	Diárias – Pessoal Civil
4.4.42.51.00	Obras e Instalações 
4.4.42.52.00	Equipamentos e Material Permanente 
4.4.42.92.00	Despesas de Exercícios Anteriores 
4.4.42.99.00	A Classificar 
4.4.50.00.00	Transferências a Instituições Privadas sem Fins Lucrativos
4.4.50.14.00	Diárias - Civil
4.4.50.32.00	Material, Bem ou Serviço para Distribuição Gratuita
4.4.50.35.00	Serviços de Consultoria
4.4.50.36.00	Outros Serviços de Terceiros - Pessoa Física 
4.4.50.39.00	Outros Serviços de Terceiros - Pessoa Jurídica
4.4.50.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
4.4.50.41.00	Contribuições
4.4.50.42.00	Auxílios
4.4.50.47.00	Obrigações Tributárias e Contributivas
4.4.50.51.00	Obras e Instalações
4.4.50.52.00	Equipamentos e Material Permanente
4.4.50.92.00	Despesas de Exercícios Anteriores
4.4.50.99.00	A Classificar
4.4.60.00.00	Transferências a Instituições Privadas com Fins Lucrativos
4.4.60.41.00	Contribuições
4.4.60.45.00	Subvenções Econômicas
4.4.60.92.00	Despesas de Exercícios Anteriores
4.4.67.00.00	Execução de Contrato de Parceria Público - Privada
4.4.67.82.00	Aporte de Recursos pelo Parceiro Público em favor do Parceiro Privado decorrente de Contrato de Parceria Público-Privada – PPP
4.4.67.83.00	Despesas decorrentes de Contrato de PPP, exceto Subvenções Econômicas, Aporte e Fundo Garantidor
4.4.70.00.00	Transferências a Instituições Multigovernamentais
4.4.70.41.00	Contribuições
4.4.70.42.00	Auxílios
4.4.70.92.00	Despesas de Exercícios Anteriores
4.4.70.99.00	A Classificar
4.4.71.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio 
4.4.71.70.00	Rateio pela Participação em Consórcio Público 
4.4.71.99.00	A Classificar
4.4.72.00.00	Execução Orçamentária Delegada a Consórcios Públicos 
4.4.72.14.00	Diárias – Civil 
4.4.72.30.00	Material de Consumo 
4.4.72.32.00	Material, Bem ou Serviço para Distribuição Gratuita 
4.4.72.33.00	Passagens e Despesas com Locomoção 
4.4.72.35.00	Serviços de Consultoria 
4.4.72.36.00	Outros Serviços de Terceiros - Pessoa Física 
4.4.72.37.00	Locação de Mão-de-obra
4.4.72.39.00	Outros Serviços de Terceiros - Pessoa Jurídica 
4.4.72.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
4.4.72.51.00	Obras e Instalações 
4.4.72.52.00	Equipamentos e Material Permanente 
4.4.72.92.00	Despesas de Exercícios Anteriores 
4.4.72.99.00	A Classificar
4.4.73.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Tratam os §§1° e 2° do Art. 24 da Lei Complementar n° 141, de 2012 
4.4.73.70.00	Rateio pela Participação em Consórcio Público
4.4.73.99.00	A classificar
4.4.74.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012
4.4.74.70.00	Rateio pela Participação em Consórcio Público
4.4.74.99.00	A classificar
4.4.75.00.00	Transferências a Instituições Multigovernamentais à Conta de Recursos de que Tratam os §§1° e 2° do Art. 24 da Lei Complementar n° 141, de 2012 
4.4.75.41.00	Contribuições
4.4.75.42.00	Auxílios
4.4.75.99.00	A classificar
4.4.76.00.00	Transferências a Instituições Multigovernamentais à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012 
4.4.76.41.00	Contribuições
4.4.76.42.00	Auxílios
4.4.76.99.00	A classificar
4.4.80.00.00	Transferências ao Exterior
4.4.80.41.00	Contribuições
4.4.80.42.00	Auxílios
4.4.80.51.00	Obras e Instalações
4.4.80.52.00	Equipamentos e Material Permanente
4.4.80.99.00	A Classificar
4.4.90.00.00	Aplicações Diretas
4.4.90.04.00	Contratação por Tempo Determinado
4.4.90.14.00	Diárias - Civil
4.4.90.18.00	Auxílio Financeiro a Estudantes
4.4.90.20.00	Auxílio Financeiro a Pesquisadores
4.4.90.30.00	Material de Consumo 
4.4.90.33.00	Passagens e Despesas com Locomoção
4.4.90.35.00	Serviços de Consultoria
4.4.90.36.00	Outros Serviços de Terceiros - Pessoa Física 
4.4.90.37.00	Locação de Mão-de-obra
4.4.90.39.00	Outros Serviços de Terceiros - Pessoa Jurídica 
4.4.90.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
4.4.90.47.00	Obrigações Tributárias e Contributivas
4.4.90.51.00	Obras e Instalações
4.4.90.51.01	 Obras e Instalações de Domínio Público
4.4.90.51.02	 Obras e Instalações de Domínio Patrimonial
4.4.90.51.03	 Obras e Instalações de Natureza Industrial
4.4.90.52.00	Equipamentos e Material Permanente
4.4.90.52.01	Aeronaves 
4.4.90.52.02	Aparelhos de Medição e Orientação
4.4.90.52.03	Aparelhos e Equipamentos de Comunicação 
4.4.90.52.04	Aparelhos, Equipamentos, Utensílios Médico-odontológicos, Laboratoriais e Hospitalares
4.4.90.52.05	Aparelhos e Equipamentos para Esportes e Diversões
4.4.90.52.06	Aparelhos e Utensílios Domésticos
4.4.90.52.07	Armamentos
4.4.90.52.08	Coleções e Materiais Bibliográficos 
4.4.90.52.09	Discotecas e Filmotecas 
4.4.90.52.10	Embarcações 
4.4.90.52.11	 Equipamentos de Manobra e Patrulhamento
4.4.90.52.12	Equipamento de Proteção, Segurança e Socorro
4.4.90.52.13	Instrumentos Musicais e Artísticos
4.4.90.52.14	Máquinas e Equipamentos de Natureza Industrial
4.4.90.52.15	 Máquinas e Equipamentos Energéticos
4.4.90.52.16	Máquinas e Equipamentos Gráficos 
4.4.90.52.17	Equipamentos para Áudio, Vídeo e Foto 
4.4.90.52.18	Máquinas, Utensílios e Equipamentos Diversos 
4.4.90.52.19	Equipamentos de Processamento de Dados 
4.4.90.52.20	Máquinas, Instalações e Utensílios de Escritório 
4.4.90.52.21	Máquinas, Ferramentas e Utensílios de Oficina 
4.4.90.52.22	Equipamentos e Utensílios Hidráulicos e Elétricos 
4.4.90.52.23	Máquinas e Equipamentos Agrícolas e Rodoviários 
4.4.90.52.24	 Mobiliário em Geral 
4.4.90.52.25	Obras de Arte e Peças para Museu 
4.4.90.52.26	Semoventes e Equipamentos de Montaria 
4.4.90.52.27	Veículos Diversos 
4.4.90.52.28	 Veículos Ferroviários 
4.4.90.52.29	Peças Não Incorporáveis a Imóveis 
4.4.90.52.30	 Veículos de Tração Mecânica 
4.4.90.52.31	Carros de Combate 
4.4.90.52.32	Equipamentos, Peças e Acessórios Aeronáuticos 
4.4.90.52.33	Equipamentos, Peças e Acessórios de Proteção Ao Vôo 
4.4.90.52.34	Acessórios para Automóveis 
4.4.90.52.35	Equipamentos de Mergulho e Salvamento
4.4.90.52.36	Equipamentos e Sistema de Proteção e Vigilância Ambiental 
4.4.90.52.99	Outros Materiais Permanentes
4.4.90.61.00	Aquisição de Imóveis
4.4.90.61.01	Aquisição de Imóveis de Domínio Público
4.4.90.61.02	Aquisição de Imóveis de Domínio Patrimonial
4.4.90.61.03	Aquisição de Imóveis de Natureza Industrial
4.4.90.65.00	Constituição ou Aumento de Capital de Empresas
4.4.90.91.00	Sentenças Judiciais
4.4.90.92.00	Despesas de Exercícios Anteriores
4.4.90.93.00	Indenizações e Restituições
4.4.90.95.00	Indenização pela Execução de Trabalhos de Campo
4.4.90.99.00	A Classificar
4.4.91.00.00	Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social
4.4.91.39.00	Outros Serviços de Terceiros - Pessoa Jurídica 
4.4.91.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
4.4.91.47.00	Obrigações Tributárias e Contributivas
4.4.91.51.00	Obras e Instalações 
4.4.91.52.00	Equipamentos e Material Permanente  
4.4.91.61.00	Aquisição de Imóveis 
4.4.91.91.00	Sentenças Judiciais
4.4.91.92.00	Despesas de Exercícios Anteriores
4.4.91.93.00	Indenizações e Restituições
4.4.91.99.00	A Classificar
4.4.92.00.00	Aplicação Direta de Recursos Recebidos de Outros Entes da Federação Decorrentes de Delegação ou Descentralização
4.4.92.20.00	Auxílio Financeiro a Pesquisadores
4.4.92.51.00	Obras e Instalações
4.4.92.51.01	 Obras e Instalações de Domínio Público
4.4.92.51.02	 Obras e Instalações de Domínio Patrimonial
4.4.92.51.03	 Obras e Instalações de Natureza Industrial
4.4.92.52.00	Equipamentos e Material Permanente
4.4.92.52.01	Aeronaves 
4.4.92.52.02	Aparelhos de Medição e Orientação
4.4.92.52.03	Aparelhos e Equipamentos de Comunicação 
4.4.92.52.04	Aparelhos, Equipamentos, Utensílios Médico-odontológicos, Laboratoriais e Hospitalares
4.4.92.52.05	Aparelhos e Equipamentos para Esportes e Diversões
4.4.92.52.06	Aparelhos e Utensílios Domésticos
4.4.92.52.07	Armamentos
4.4.92.52.08	Coleções e Materiais Bibliográficos 
4.4.92.52.09	Discotecas e Filmotecas 
4.4.92.52.10	Embarcações 
4.4.92.52.11	 Equipamentos de Manobra e Patrulhamento
4.4.92.52.12	Equipamento de Proteção, Segurança e Socorro
4.4.92.52.13	Instrumentos Musicais e Artísticos
4.4.92.52.14	Máquinas e Equipamentos de Natureza Industrial
4.4.92.52.15	 Máquinas e Equipamentos Energéticos
4.4.92.52.16	Máquinas e Equipamentos Gráficos 
4.4.92.52.17	Equipamentos para Áudio, Vídeo e Foto 
4.4.92.52.18	Máquinas, Utensílios e Equipamentos Diversos 
4.4.92.52.19	Equipamentos de Processamento de Dados 
4.4.92.52.20	 Máquinas, Instalações e Utensílios de Escritório 
4.4.92.52.21	Máquinas, Ferramentas e Utensílios de Oficina 
4.4.92.52.22	Equipamentos e Utensílios Hidráulicos e Elétricos 
4.4.92.52.23	Máquinas e Equipamentos Agrícolas e Rodoviários 
4.4.92.52.24	 Mobiliário em Geral 
4.4.92.52.25	Obras de Arte e Peças para Museu 
4.4.92.52.26	Semoventes e Equipamentos de Montaria 
4.4.92.52.27	Veículos Diversos 
4.4.92.52.28	 Veículos Ferroviários 
4.4.92.52.29	Peças Não Incorporáveis a Imóveis 
4.4.92.52.30	 Veículos de Tração Mecânica 
4.4.92.52.31	Carros de Combate 
4.4.92.52.32	Equipamentos, Peças e Acessórios Aeronáuticos 
4.4.92.52.33	Equipamentos, Peças e Acessórios de Proteção ao Vôo 
4.4.92.52.34	Acessórios para Automóveis 
4.4.92.52.35	Equipamentos de Mergulho e Salvamento
4.4.92.52.36	Equipamentos e Sistema de Proteção e Vigilância Ambiental 
4.4.92.52.99	Outros Materiais Permanentes
4.4.92.99.00	A classificar
4.4.93.00.00	Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Participe 
4.4.93.51.00	Obras e Instalações
4.4.93.51.01	 Obras e Instalações de Domínio Público
4.4.93.51.02	 Obras e Instalações de Domínio Patrimonial
4.4.93.51.03	 Obras e Instalações de Natureza Industrial
4.4.93.52.00	Equipamentos e Material Permanente
4.4.93.52.01	Aeronaves 
4.4.93.52.02	Aparelhos de Medição e Orientação
4.4.93.52.03	Aparelhos e Equipamentos de Comunicação 
4.4.93.52.04	Aparelhos, Equipamentos, Utensílios Médico-odontológicos, Laboratoriais e Hospitalares
4.4.93.52.05	Aparelhos e Equipamentos para Esportes e Diversões
4.4.93.52.06	Aparelhos e Utensílios Domésticos
4.4.93.52.07	Armamentos
4.4.93.52.08	Coleções e Materiais Bibliográficos 
4.4.93.52.09	Discotecas e Filmotecas 
4.4.93.52.10	Embarcações 
4.4.93.52.11	 Equipamentos de Manobra e Patrulhamento
4.4.93.52.12	Equipamento de Proteção, Segurança e Socorro
4.4.93.52.13	Instrumentos Musicais e Artísticos
4.4.93.52.14	Máquinas e Equipamentos de Natureza Industrial
4.4.93.52.15	 Máquinas e Equipamentos Energéticos
4.4.93.52.16	Máquinas e Equipamentos Gráficos 
4.4.93.52.17	Equipamentos para Áudio, Vídeo e Foto 
4.4.93.52.18	Máquinas, Utensílios e Equipamentos Diversos 
4.4.93.52.19	Equipamentos de Processamento de Dados 
4.4.93.52.20	 Máquinas, Instalações e Utensílios de Escritório 
4.4.93.52.21	Máquinas, Ferramentas e Utensílios de Oficina 
4.4.93.52.22	Equipamentos e Utensílios Hidráulicos e Elétricos 
4.4.93.52.23	Máquinas e Equipamentos Agrícolas e Rodoviários 
4.4.93.52.24	 Mobiliário em Geral 
4.4.93.52.25	Obras de Arte e Peças para Museu 
4.4.93.52.26	Semoventes e Equipamentos de Montaria 
4.4.93.52.27	Veículos Diversos 
4.4.93.52.28	 Veículos Ferroviários 
4.4.93.52.29	Peças Não Incorporáveis a Imóveis 
4.4.93.52.30	 Veículos de Tração Mecânica 
4.4.93.52.31	Carros de Combate 
4.4.93.52.32	Equipamentos, Peças e Acessórios Aeronáuticos 
4.4.93.52.33	Equipamentos, Peças e Acessórios de Proteção ao Vôo 
4.4.93.52.34	Acessórios para Automóveis 
4.4.93.52.35	Equipamentos de Mergulho e Salvamento
4.4.93.52.36	Equipamentos e Sistema de Proteção e Vigilância Ambiental 
4.4.93.52.99	Outros Materiais Permanentes
4.4.93.99.00	A classificar
4.4.94.00.00	Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Não Participe 
4.4.94.51.00	Obras e Instalações
4.4.94.51.01	 Obras e Instalações de Domínio Público
4.4.94.51.02	 Obras e Instalações de Domínio Patrimonial
4.4.94.51.03	 Obras e Instalações de Natureza Industrial
4.4.94.52.00	Equipamentos e Material Permanente
4.4.94.52.01	Aeronaves 
4.4.94.52.02	Aparelhos de Medição e Orientação
4.4.94.52.03	Aparelhos e Equipamentos de Comunicação 
4.4.94.52.04	Aparelhos, Equipamentos, Utensílios Médico-odontológicos, Laboratoriais e Hospitalares
4.4.94.52.05	Aparelhos e Equipamentos para Esportes e Diversões
4.4.94.52.06	Aparelhos e Utensílios Domésticos
4.4.94.52.07	Armamentos
4.4.94.52.08	Coleções e Materiais Bibliográficos 
4.4.94.52.09	Discotecas e Filmotecas 
4.4.94.52.10	Embarcações 
4.4.94.52.11	 Equipamentos de Manobra e Patrulhamento
4.4.94.52.12	Equipamento de Proteção, Segurança e Socorro
4.4.94.52.13	Instrumentos Musicais e Artísticos
4.4.94.52.14	Máquinas e Equipamentos de Natureza Industrial
4.4.94.52.15	 Máquinas e Equipamentos Energéticos
4.4.94.52.16	Máquinas e Equipamentos Gráficos 
4.4.94.52.17	Equipamentos para Áudio, Vídeo e Foto 
4.4.94.52.18	Máquinas, Utensílios e Equipamentos Diversos 
4.4.94.52.19	Equipamentos de Processamento de Dados 
4.4.94.52.20	 Máquinas, Instalações e Utensílios de Escritório 
4.4.94.52.21	Máquinas, Ferramentas e Utensílios de Oficina 
4.4.94.52.22	Equipamentos e Utensílios Hidráulicos e Elétricos 
4.4.94.52.23	Máquinas e Equipamentos Agrícolas e Rodoviários 
4.4.94.52.24	 Mobiliário em Geral 
4.4.94.52.25	Obras de Arte e Peças para Museu 
4.4.94.52.26	Semoventes e Equipamentos de Montaria 
4.4.94.52.27	Veículos Diversos 
4.4.94.52.28	 Veículos Ferroviários 
4.4.94.52.29	Peças Não Incorporáveis a Imóveis 
4.4.94.52.30	 Veículos de Tração Mecânica 
4.4.94.52.31	Carros de Combate 
4.4.94.52.32	Equipamentos, Peças e Acessórios Aeronáuticos 
4.4.94.52.33	Equipamentos, Peças e Acessórios de Proteção Ao Vôo 
4.4.94.52.34	Acessórios para Automóveis 
4.4.94.52.35	Equipamentos de Mergulho e Salvamento
4.4.94.52.36	Equipamentos e Sistema de Proteção e Vigilância Ambiental 
4.4.94.52.99	Outros Materiais Permanentes
4.4.94.92.00	Despesas de Exercícios Anteriores 
4.4.94.99.00	A classificar
4.4.95.00.00	Aplicação Direta à Conta de Recursos de que Tratam os §§ 1° e 2° do Art. 24 da Lei Complementar n° 141, de 2012 
4.4.95.51.00	Obras e Instalações
4.4.95.51.01	 Obras e Instalações de Domínio Público
4.4.95.51.02	 Obras e Instalações de Domínio Patrimonial
4.4.95.51.03	 Obras e Instalações de Natureza Industrial
4.4.95.52.00	Equipamentos e Material Permanente
4.4.95.52.01	Aeronaves 
4.4.95.52.02	Aparelhos de Medição e Orientação
4.4.95.52.03	Aparelhos e Equipamentos de Comunicação 
4.4.95.52.04	Aparelhos, Equipamentos, Utensílios Médico-odontológicos, Laboratoriais e Hospitalares
4.4.95.52.05	Aparelhos e Equipamentos para Esportes e Diversões
4.4.95.52.06	Aparelhos e Utensílios Domésticos
4.4.95.52.07	Armamentos
4.4.95.52.08	Coleções e Materiais Bibliográficos 
4.4.95.52.09	Discotecas e Filmotecas 
4.4.95.52.10	Embarcações 
4.4.95.52.11	 Equipamentos de Manobra e Patrulhamento
4.4.95.52.12	Equipamento de Proteção, Segurança e Socorro
4.4.95.52.13	Instrumentos Musicais e Artísticos
4.4.95.52.14	Máquinas e Equipamentos de Natureza Industrial
4.4.95.52.15	 Máquinas e Equipamentos Energéticos
4.4.95.52.16	Máquinas e Equipamentos Gráficos 
4.4.95.52.17	Equipamentos para Áudio, Vídeo e Foto 
4.4.95.52.18	Máquinas, Utensílios e Equipamentos Diversos 
4.4.95.52.19	Equipamentos de Processamento de Dados 
4.4.95.52.20	 Máquinas, Instalações e Utensílios de Escritório 
4.4.95.52.21	Máquinas, Ferramentas e Utensílios de Oficina 
4.4.95.52.22	Equipamentos e Utensílios Hidráulicos e Elétricos 
4.4.95.52.23	Máquinas e Equipamentos Agrícolas e Rodoviários 
4.4.95.52.24	 Mobiliário em Geral 
4.4.95.52.25	Obras de Arte e Peças para Museu 
4.4.95.52.26	Semoventes e Equipamentos de Montaria 
4.4.95.52.27	Veículos Diversos 
4.4.95.52.28	 Veículos Ferroviários 
4.4.95.52.29	Peças Não Incorporáveis a Imóveis 
4.4.95.52.30	 Veículos de Tração Mecânica 
4.4.95.52.31	Carros de Combate 
4.4.95.52.32	Equipamentos, Peças e Acessórios Aeronáuticos 
4.4.95.52.33	Equipamentos, Peças e Acessórios de Proteção Ao Vôo 
4.4.95.52.34	Acessórios para Automóveis 
4.4.95.52.35	Equipamentos de Mergulho e Salvamento
4.4.95.52.36	Equipamentos e Sistema de Proteção e Vigilância Ambiental 
4.4.95.52.99	Outros Materiais Permanentes
4.4.95.61.00	Aquisição de imóveis
4.4.95.61.01	Aquisição de Imóveis de Domínio Público
4.4.95.61.02	Aquisição de Imóveis de Domínio Patrimonial
4.4.95.61.03	Aquisição de Imóveis de Natureza Industrial
4.4.95.91.00	Sentenças Judiciais
4.4.95.92.00	Despesas de Exercícios Anteriores
4.4.95.93.00	Indenizações e Restituições
4.4.95.99.00	A classificar
4.4.96.00.00	Aplicação Direta à Conta de Recursos de que Trata o Art. 25 da Lei Complementar  n° 141, de 2012 
4.4.96.51.00	Obras e Instalações
4.4.96.51.01	 Obras e Instalações de Domínio Público
4.4.96.51.02	 Obras e Instalações de Domínio Patrimonial
4.4.96.51.03	 Obras e Instalações de Natureza Industrial
4.4.96.52.00	Equipamentos e Material Permanente
4.4.96.52.01	Aeronaves 
4.4.96.52.02	Aparelhos de Medição e Orientação
4.4.96.52.03	Aparelhos e Equipamentos de Comunicação 
4.4.96.52.04	Aparelhos, Equipamentos, Utensílios Médico-odontológicos, Laboratoriais e Hospitalares
4.4.96.52.05	Aparelhos e Equipamentos para Esportes e Diversões
4.4.96.52.06	Aparelhos e Utensílios Domésticos
4.4.96.52.07	Armamentos
4.4.96.52.08	Coleções e Materiais Bibliográficos 
4.4.96.52.09	Discotecas e Filmotecas 
4.4.96.52.10	Embarcações 
4.4.96.52.11	 Equipamentos de Manobra e Patrulhamento
4.4.96.52.12	Equipamento de Proteção, Segurança e Socorro
4.4.96.52.13	Instrumentos Musicais e Artísticos
4.4.96.52.14	Máquinas e Equipamentos de Natureza Industrial
4.4.96.52.15	 Máquinas e Equipamentos Energéticos
4.4.96.52.16	Máquinas e Equipamentos Gráficos 
4.4.96.52.17	Equipamentos para Áudio, Vídeo e Foto 
4.4.96.52.18	Máquinas, Utensílios e Equipamentos Diversos 
4.4.96.52.19	Equipamentos de Processamento de Dados 
4.4.96.52.20	 Máquinas, Instalações e Utensílios de Escritório 
4.4.96.52.21	Máquinas, Ferramentas e Utensílios de Oficina 
4.4.96.52.22	Equipamentos e Utensílios Hidráulicos e Elétricos 
4.4.96.52.23	Máquinas e Equipamentos Agrícolas e Rodoviários 
4.4.96.52.24	 Mobiliário em Geral 
4.4.96.52.25	Obras de Arte e Peças para Museu 
4.4.96.52.26	Semoventes e Equipamentos de Montaria 
4.4.96.52.27	Veículos Diversos 
4.4.96.52.28	 Veículos Ferroviários 
4.4.96.52.29	Peças Não Incorporáveis a Imóveis 
4.4.96.52.30	 Veículos de Tração Mecânica 
4.4.96.52.31	Carros de Combate 
4.4.96.52.32	Equipamentos, Peças e Acessórios Aeronáuticos 
4.4.96.52.33	Equipamentos, Peças e Acessórios de Proteção Ao Vôo 
4.4.96.52.34	Acessórios para Automóveis 
4.4.96.52.35	Equipamentos de Mergulho e Salvamento
4.4.96.52.36	Equipamentos e Sistema de Proteção e Vigilância Ambiental 
4.4.96.52.99	Outros Materiais Permanentes
4.4.96.61.00	Aquisição de imóveis
4.4.96.61.01	Aquisição de Imóveis de Domínio Público
4.4.96.61.02	Aquisição de Imóveis de Domínio Patrimonial
4.4.96.61.03	Aquisição de Imóveis de Natureza Industrial
4.4.96.91.00	Sentenças Judiciais
4.4.96.92.00	Despesas de Exercícios Anteriores
4.4.96.93.00	Indenizações e Restituições
4.4.96.99.00	A classificar
4.4.99.00.00	A Definir
4.4.99.99.00	A Classificar
4.5.00.00.00	Inversões Financeiras
4.5.30.00.00	Transferências a Estados e ao Distrito Federal
4.5.30.41.00	Contribuições
4.5.30.42.00	Auxílios
4.5.30.92.00	Despesas de Exercícios Anteriores
4.5.30.99.00	A Classificar
4.5.40.00.00	Transferências a Municípios
4.5.40.41.00	Contribuições
4.5.40.42.00	Auxílios
4.5.40.92.00	Despesas de Exercícios Anteriores
4.5.40.99.00	A Classificar
4.5.50.00.00	Transferências a Instituições Privadas sem Fins Lucrativos
4.5.50.41.00	Contribuições
4.5.50.42.00	Auxílios
4.5.50.66.00	Concessão de Empréstimos e Financiamentos
4.5.50.92.00	Despesas de Exercícios Anteriores
4.5.50.99.00	A Classificar
4.5.60.00.00	Transferências a Instituições Privadas com Fins Lucrativos
4.5.60.41.00	Contribuições
4.5.60.92.00	Despesas de Exercícios Anteriores
4.5.67.00.00	Execução de Contrato de Parceria Público-Privada (PPP)
4.5.67.82.00	Aporte de Recursos pelo Parceiro Público em Favor do Parceiro Privado Decorrente de Contrato de Parceria Público-Privada (PPP)
4.5.67.83.00	Despesas Decorrentes de Contrato de Parceria Público-Privada - PPP, exceto Subvenções Econômicas, Aporte e Fundo Garantidor
4.5.67.84.00	Despesas Decorrentes da Participação em Fundos, Organismos, ou Entidades Assemelhadas, Nacionais e Internacionais.
4.5.67.99.00	A Classificar
4.5.71.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio 
4.5.71.70.00	Rateio pela Participação em Consórcio Público (2) (I)
4.5.71.99.00	A Classificar
4.5.72.00.00	Execução Orçamentária Delegada a Consórcios Públicos 
4.5.72.14.00	Diárias - Civil
4.5.72.30.00	Material de Consumo 
4.5.72.32.00	Material, Bem ou Serviço para Distribuição Gratuita 
4.5.72.33.00	Passagens e Despesas com Locomoção 
4.5.72.35.00	Serviços de Consultoria 
4.5.72.36.00	Outros Serviços de Terceiros - Pessoa Física 
4.5.72.37.00	Locação de Mão-de-obra
4.5.72.39.00	Outros Serviços de Terceiros - Pessoa Jurídica 
4.5.72.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
4.5.72.51.00	Obras e Instalações 
4.5.72.52.00	Equipamentos e Material Permanente 
4.5.72.61.00	Aquisição de Imóveis 
4.5.72.92.00	Despesas de Exercícios Anteriores 
4.5.72.99.00	A Classificar
4.5.73.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Tratam os §§1° e 2° do Art. 24 da Lei Complementar n° 141, de 2012 
4.5.73.70.00	Rateio pela Participação em Consórcio Público
4.5.73.99.00	A classificar
4.5.74.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012 
4.5.74.70.00	Rateio pela Participação em Consórcio Público
4.5.74.99.00	A classificar
4.5.90.00.00	Aplicações Diretas
4.5.90.27.00	Encargos pela Honra de Avais, Garantias, Seguros e Similares
4.5.90.52.00	Equipamentos e Material Permanente
4.5.90.61.00	Aquisição de Imóveis
4.5.90.61.01	Aquisição de Imóveis de Domínio Público
4.5.90.61.02	Aquisição de Imóveis de Domínio Patrimonial
4.5.90.61.03	Aquisição de Imóveis de Natureza Industrial
4.5.90.62.00	Aquisição de Produtos para Revenda
4.5.90.63.00	Aquisição de Títulos de Crédito
4.5.90.64.00	Aquisição de Títulos Representativos de Capital Já Integralizado
4.5.90.65.00	Constituição ou Aumento de Capital de Empresas
4.5.90.66.00	Concessão de Empréstimos e Financiamentos
4.5.90.67.00	Depósitos Compulsórios
4.5.90.84.00	Despesas Decorrentes da Participação em Fundos, Organismos, ou Entidades Assemelhadas, Nacionais e Internacionais.
4.5.90.91.00	Sentenças Judiciais 
4.5.90.92.00	Despesas de Exercícios Anteriores
4.5.90.93.00	Indenizações e Restituições
4.5.90.99.00	A Classificar
4.5.91.00.00	Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social
4.5.91.47.00	Obrigações Tributárias e Contributivas
4.5.91.52.00	Equipamentos e Material Permanente 
4.5.91.61.00	Aquisição de Imóveis 
4.5.91.62.00	Aquisição de Produtos Para Revenda
4.5.91.63.00	Aquisição de Títulos De Crédito
4.5.91.64.00	Aquisição de Títulos Representativos de Capital Já Integralizado
4.5.91.65.00	Constituição ou Aumento de Capital de Empresas
4.5.91.66.00	Concessão de Empréstimos e Financiamentos
4.5.91.67.00	Depósitos Compulsórios
4.5.91.84.00	Despesas Decorrentes da Participação em Fundos, Organismos, ou Entidades Assemelhadas, Nacionais e Internacionais.
4.5.91.91.00	Sentenças Judiciais
4.5.91.92.00	Despesas de Exercícios Anteriores
4.5.91.93.00	Indenizações e Restituições
4.5.91.99.00	A Classificar
4.5.95.00.00	Aplicação Direta à Conta de Recursos de que Tratam os §§ 1° e 2° do Art. 24 da Lei Complementar  n° 141, de 2012 
4.5.95.61.00	Aquisição de imóveis
4.5.95.61.01	Aquisição de Imóveis de Domínio Público
4.5.95.61.02	Aquisição de Imóveis de Domínio Patrimonial
4.5.95.61.03	Aquisição de Imóveis de Natureza Industrial
4.5.95.67.00	Depósitos Compulsórios
4.5.95.91.00	Sentenças Judiciais
4.5.95.92.00	Despesas de Exercícios Anteriores
